Date,Close/Last,Volume,Open,High,Low
5/17/2018,1581.76,2131238,1580.56,1594.04,1573.00
5/16/2018,1587.28,2535458,1577.50,1594.43,1576.67
5/15/2018,1576.12,5066420,1587.80,1587.80,1565.22
5/14/2018,1601.54,2460302,1604.00,1611.18,1600.05
5/11/2018,1602.91,2258583,1610.99,1611.10,1597.89
5/10/2018,1609.08,2785394,1608.48,1615.60,1603.44
5/9/2018,1608.00,3628661,1600.00,1608.00,1592.00
5/8/2018,1592.39,3033526,1595.00,1596.88,1582.51
5/7/2018,1600.14,3793376,1589.34,1606.95,1587.83
5/4/2018,1580.95,3414088,1562.45,1584.90,1562.19
5/3/2018,1572.08,4235885,1560.01,1574.80,1546.02
5/2/2018,1569.68,4252230,1580.98,1588.50,1566.36
5/1/2018,1582.26,4551661,1563.22,1585.00,1552.18
4/30/2018,1566.13,5421282,1582.50,1596.00,1560.94
4/27/2018,1572.62,13025430,1634.01,1638.10,1567.39
4/26/2018,1517.96,8309864,1485.01,1529.42,1478.50
4/25/2018,1460.17,6365989,1458.00,1469.99,1415.02
4/24/2018,1460.09,7470059,1535.80,1539.50,1448.45
4/23/2018,1517.86,4447801,1546.69,1548.00,1503.41
4/20/2018,1527.49,5520642,1561.20,1561.20,1516.09
4/19/2018,1556.91,6483967,1543.22,1568.52,1539.06
4/18/2018,1527.84,5091677,1514.65,1533.80,1504.11
4/17/2018,1503.83,5008532,1462.30,1507.19,1457.02
